,name,binary_f1,weighted_f1,roc_auc,accuracy,precision,recall,macro_f1
0,DecisionTreeClassifier,0.6377551020408163,0.679570242599852,0.9098846254874623,0.8856447688564477,0.5807962529274004,0.7264957264957265,0.7848228795486867
1,AdaBoostClassifier,0.6467661691542288,0.6872514971400001,0.9159402719686409,0.8848337388483374,0.5739514348785872,0.7407407407407407,0.7889838597709129
2,LogisticRegression,0.6214177978883861,0.6669348161919297,0.9108969307550868,0.8982157339821574,0.7085714285714285,0.5868945868945868,0.7813109134675007
3,MLPClassifier,0.6450777202072538,0.6862208549222797,0.9138779441379914,0.8917274939172749,0.6082474226804123,0.7635327635327636,0.7896061677959346
4,RandomForestClassifier,0.6485819975339088,0.6887576953911965,0.9206980393741624,0.8844282238442822,0.5717391304347826,0.7492877492877493,0.7897120130838677
5,XGBClassifier,0.6518518518518518,0.6916681128264337,0.9307786600930807,0.8856447688564477,0.5751633986928104,0.7549857549857549,0.7917192301471777
